158,12,8,"{-1.74062291392586070,1.99225206043973200,3.24524334471389500,2.23227680280737140,2.10626009601375630,2.06111712663585300}","{0.01647808119694796,0.25980051293172370,0.22313021832156651,10.83906891283636000}",2026-01-05 12:03:02.602725 +00:00
159,12,9,"{-0.71527808570963260,2.80938409431970400,4.06099360194870800,3.26064191977956550,2.27123294262895260,2.30897353712207300}","{-0.13632290679750064,-0.94303411477225850,0.24120410549269797,9.53966556521497000}",2026-01-05 12:03:02.602725 +00:00
160,12,10,"{-0.03718865321172598,3.61770898835620600,4.62620528597294540,0.37198004003064940,2.05907898970945000,0.71894619872205940}","{0.15216430378089090,0.45765475816740064,-0.19583815784252562,10.71829404185451800}",2026-01-05 12:03:02.602725 +00:00
161,12,11,"{0.39963796645367883,4.21189663152267500,4.87330001498022550,1.96816256531973370,1.12406909868235000,0.60477556381693900}","{0.18631292712273550,0.30035024524695586,0.20306957760961578,11.62696119317205000}",2026-01-05 12:03:02.602725 +00:00
61,6,1,"{-0.20000000000000000,-0.20000000000000000,0.20000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000}","{-0.16196956504485688,0.65046909715550270,0.17258516210841293,9.92508113719031000}",2026-01-05 12:03:00.738479 +00:00
62,6,2,"{0.18806859813753310,-0.01913016670860197,0.05957692398762180,2.07893891859392700,0.96894553548963260,-0.75226647863774040}","{-0.11716880957739845,0.26373511518859400,0.26179938779914946,11.68770815334597800}",2026-01-05 12:03:00.738479 +00:00
63,6,3,"{1.14325231344011910,0.48915991391637736,-0.12396838181630580,3.03811669909849870,1.75403703928704260,-0.23101194531187197}","{0.15378916243172927,-0.11416340242196533,0.01933598798589874,11.97968180328046400}",2026-01-05 12:03:00.738479 +00:00
64,6,4,"{2.18599267845316670,1.01432173833925300,-0.07423363275446161,2.54799239918568400,1.05932987726407820,0.49744810100032294}","{-0.01974634060772509,-0.25420863805841154,-0.10467467530172016,11.41237919697444300}",2026-01-05 12:03:00.738479 +00:00
65,6,5,"{2.94001170491704700,1.44631575130291970,0.19743890344213330,1.49139524258510560,1.25492376361270730,0.95794048576715030}","{-0.027199911060931073,0.10699551829284401,-0.11998040505586169,10.67384006969678500}",2026-01-05 12:03:00.738479 +00:00
66,6,6,"{3.57805705562913800,1.92540082149425730,0.61074275960932580,1.92670485051538190,1.31160339812660150,1.25618731512852390}","{0.09818311307368129,-0.39405393481694480,-0.22547354511548523,11.10917965777915500}",2026-01-05 12:03:00.738479 +00:00
67,6,7,"{3.99207538866326200,2.40722967225957430,1.10748146132165640,0.29125050502456706,1.26962258811616850,1.40491287261610440}","{0.14369487654744914,-0.01034897392518933,-0.10951003183714077,11.43168286085137300}",2026-01-05 12:03:00.738479 +00:00
68,6,8,"{4.08023004584170400,2.76871465412808100,1.73674264705683000,0.18100658700280370,0.66690410046511770,1.96612919382232530}","{0.06076933279246297,0.012513222608939013,0.043529567042696365,11.88605699609266300}",2026-01-05 12:03:00.738479 +00:00
69,6,9,"{4.16033076492339050,2.96788418731523060,2.61384859166812000,0.24810440807765882,0.40007554160889700,2.73265265230958580}","{-0.23416684904276855,-0.12688595450946752,-0.08417026138641168,10.10445185100813800}",2026-01-05 12:03:00.738479 +00:00
70,6,10,"{4.18032211773100700,3.28734431615251040,3.62983431366684300,-0.14100787517971420,1.31131800573367260,2.71012800125500300}","{0.05793211094269762,-0.046372445994966656,0.023843042575764157,11.95735109544963500}",2026-01-05 12:03:00.738479 +00:00
71,6,11,"{4.09027714235833100,3.72774986150797500,4.78896971844228400,-0.34137592145962065,1.04799741581345950,3.49952595289914650}","{-0.08366132715969003,-0.04041456991685133,0.17754246677232850,10.45190848686637600}",2026-01-05 12:03:00.738479 +00:00
72,6,12,"{3.92321514672008500,4.17373243542994800,6.13705304596637800,-0.55359905517384010,1.34119494448282860,3.72234901597992900}","{0.14219802573874146,0.010894568337681657,-0.23370473020616100,11.98934558383041500}",2026-01-05 12:03:00.738479 +00:00
73,6,13,"{3.69788210226784870,4.55716756793148650,7.67012405877738700,-0.65354225439171090,0.71292183677541140,4.49053140979333100}","{-0.06275693002404495,1.02326884507502960,-0.14698745672894930,8.74095991269391000}",2026-01-05 12:03:00.738479 +00:00
74,6,14,"{3.97296609603500840,4.78509315305285400,8.97942565107295500,2.12720650671577970,0.50810808351762930,2.52358426321864340}","{0.07914794110263111,-0.23032814993825765,-0.044706725096856484,7.27940426281055000}",2026-01-05 12:03:00.738479 +00:00
75,6,15,"{4.64999493437270200,4.93987729718868900,9.73026634893243200,1.49973369866472230,0.32109268863863255,1.49877661817141400}","{0.07983009014211684,-0.60959726583827320,0.04568814990918209,6.87080081924999400}",2026-01-05 12:03:00.738479 +00:00
